teamID,name,yearID,W,L
HOU,Houston Astros,2013,51,111
HOU,Houston Astros,2014,70,92
HOU,Houston Astros,2015,86,76
HOU,Houston Astros,2016,84,78
TBA,Tampa Bay Devil Rays,1998,63,99
TBA,Tampa Bay Devil Rays,1999,69,93
TBA,Tampa Bay Devil Rays,2000,69,92
TBA,Tampa Bay Devil Rays,2001,62,100
TBA,Tampa Bay Devil Rays,2002,55,106
TBA,Tampa Bay Devil Rays,2003,63,99
TBA,Tampa Bay Devil Rays,2004,70,91
TBA,Tampa Bay Devil Rays,2005,67,95
TBA,Tampa Bay Devil Rays,2006,61,101
TBA,Tampa Bay Devil Rays,2007,66,96
TBA,Tampa Bay Rays,2008,97,65
TBA,Tampa Bay Rays,2009,84,78
TBA,Tampa Bay Rays,2010,96,66
TBA,Tampa Bay Rays,2011,91,71
TBA,Tampa Bay Rays,2012,90,72
TBA,Tampa Bay Rays,2013,92,71
TBA,Tampa Bay Rays,2014,77,85
TBA,Tampa Bay Rays,2015,80,82
TBA,Tampa Bay Rays,2016,68,94
